metric,baseline,comparison,n_questions,n_source_groups,manual_mean,comparison_mean,mean_difference,cluster_bootstrap_ci95_low,cluster_bootstrap_ci95_high,group_sign_permutation_p,p_fdr_bh,significant_0.05
Strict-Hit@1,AliasAwareFusion,WithoutText,2034,221,0.7772861356932154,0.5457227138643068,0.23156342182890854,0.20467279572183833,0.25888102085950715,4.999750012499375e-05,5.99970001499925e-05,True
Strict-Hit@1,AliasAwareFusion,WithoutEntity,2034,221,0.7772861356932154,0.676007866273353,0.10127826941986234,0.08254078940258261,0.12034261784974157,4.999750012499375e-05,5.99970001499925e-05,True
Strict-Hit@1,AliasAwareFusion,WithoutPhrase,2034,221,0.7772861356932154,0.744346116027532,0.032940019665683384,0.019912524528403145,0.04650118848772964,4.999750012499375e-05,5.99970001499925e-05,True
Strict-Hit@5,AliasAwareFusion,WithoutText,2034,221,0.9164208456243854,0.7772861356932154,0.1391347099311701,0.11758935433029842,0.16168950685109815,4.999750012499375e-05,5.99970001499925e-05,True
Strict-Hit@5,AliasAwareFusion,WithoutEntity,2034,221,0.9164208456243854,0.8328416912487709,0.08357915437561456,0.06636500754147813,0.10104015756562655,4.999750012499375e-05,5.99970001499925e-05,True
Strict-Hit@5,AliasAwareFusion,WithoutPhrase,2034,221,0.9164208456243854,0.9016715830875123,0.014749262536873156,0.0057553956834532375,0.023923503382924635,0.00199990000499975,0.00199990000499975,True
Strict-Hit@10,AliasAwareFusion,WithoutText,2034,221,0.951819075712881,0.8367748279252704,0.11504424778761062,0.09663456259150806,0.1339290869350049,4.999750012499375e-05,5.99970001499925e-05,True
Strict-Hit@10,AliasAwareFusion,WithoutEntity,2034,221,0.951819075712881,0.8815142576204523,0.07030481809242871,0.05488319897929595,0.08603326581778209,4.999750012499375e-05,5.99970001499925e-05,True
Strict-Hit@10,AliasAwareFusion,WithoutPhrase,2034,221,0.951819075712881,0.9380530973451328,0.01376597836774828,0.006304507739080113,0.021673387096774195,0.0009499525023748813,0.0010058320613381096,True
Strict-MRR@10,AliasAwareFusion,WithoutText,2034,221,0.8378414181142795,0.6438849089291567,0.19395650918512275,0.17157399256776348,0.21656368298751297,4.999750012499375e-05,5.99970001499925e-05,True
Strict-MRR@10,AliasAwareFusion,WithoutEntity,2034,221,0.8378414181142795,0.7441363877573317,0.09370503035694777,0.0788315129774169,0.1091225083660348,4.999750012499375e-05,5.99970001499925e-05,True
Strict-MRR@10,AliasAwareFusion,WithoutPhrase,2034,221,0.8378414181142795,0.8117953130121272,0.026046105102152297,0.01750631936191929,0.034549336356186296,4.999750012499375e-05,5.99970001499925e-05,True
Strict-Recall@10,AliasAwareFusion,WithoutText,2034,221,0.951819075712881,0.8367748279252704,0.11504424778761062,0.09627788263555251,0.13420163290181839,4.999750012499375e-05,5.99970001499925e-05,True
Strict-Recall@10,AliasAwareFusion,WithoutEntity,2034,221,0.951819075712881,0.8815142576204523,0.07030481809242871,0.05469468142432725,0.08629980255806503,4.999750012499375e-05,5.99970001499925e-05,True
Strict-Recall@10,AliasAwareFusion,WithoutPhrase,2034,221,0.951819075712881,0.9380530973451328,0.01376597836774828,0.006342494714587738,0.02149487054225696,0.0006999650017499125,0.0007874606269686515,True
nDCG@10,AliasAwareFusion,WithoutText,2034,221,0.6681672451983873,0.5289186850816645,0.13924856011672293,0.12399631147827775,0.1546751073542018,4.999750012499375e-05,5.99970001499925e-05,True
nDCG@10,AliasAwareFusion,WithoutEntity,2034,221,0.6681672451983873,0.6040466450023865,0.06412060019600092,0.05244589415848149,0.0759163597015436,4.999750012499375e-05,5.99970001499925e-05,True
nDCG@10,AliasAwareFusion,WithoutPhrase,2034,221,0.6681672451983873,0.6506910677927507,0.017476177405636693,0.012163722622674024,0.022714347971676416,4.999750012499375e-05,5.99970001499925e-05,True
